hilos,real_seg
1,1.369504
2,0.676755
3,0.456194
4,0.339113
5,0.275652
6,0.228815
7,0.200951
8,0.176029
9,0.296667
10,0.267693
11,0.248306
12,0.226728
13,0.209442
14,0.197656
15,0.183910
16,0.224813
