hilos,real_seg
1,1.436424
2,1.239501
3,0.954119
4,0.695129
5,0.561642
6,0.580265
7,0.583345
8,0.563145
9,0.692999
10,0.737819
11,0.773436
12,0.812192
13,0.815802
14,0.843992
15,0.925473
16,1.008894
