hilos,real_seg
1,4.93
2,5.06
3,2.85
4,2.93
5,3.22
6,3.71
7,4.40
8,5.01
9,5.93
10,6.51
11,7.31
12,7.83
13,8.43
14,9.08
15,10.06
16,10.76
